Status,Country,SportType,Location,sport_center,Address,Link
ACTIVE,Hong Kong,Badminton,九龍城區,佛光街體育館,九龍何文田牧愛街18號佛光街體育館9樓,https://www.google.com/maps?q=22.314722
INACTIVE,Hong Kong,Badminton,九龍城區,何文田體育館,九龍何文田忠義街1號,https://www.google.com/maps?q=22.311944
INACTIVE,Hong Kong,Badminton,九龍城區,紅磡市政大廈體育館,紅磡馬頭圍道11號紅磡市政大廈3樓,https://www.google.com/maps?q=22.307222
INACTIVE,Hong Kong,Badminton,九龍城區,九龍城體育館,九龍城衙前圍道100號九龍城市政大廈3樓,https://www.google.com/maps?q=22.329722
ACTIVE,Hong Kong,Badminton,九龍城區,土瓜灣體育館,九龍土瓜灣下鄉道66號,https://www.google.com/maps?q=22.318889
INACTIVE,Hong Kong,Badminton,觀塘區,振華道體育館,牛頭角振華道50號樂雅苑停車場頂樓(毗鄰樂華),https://www.google.com/maps?q=22.322500
INACTIVE,Hong Kong,Badminton,觀塘區,曉光街體育館,九龍觀塘曉光街2號,https://www.google.com/maps?q=22.319722
INACTIVE,Hong Kong,Badminton,觀塘區,九龍灣體育館,九龍灣啟樂街15號,https://www.google.com/maps?q=22.326944
INACTIVE,Hong Kong,Badminton,觀塘區,藍田(南)體育館,九龍觀塘藍田碧雲道170號,https://www.google.com/maps?q=22.303889
INACTIVE,Hong Kong,Badminton,觀塘區,鯉魚門體育館,九龍油塘鯉魚門市政大廈2樓至5樓,https://www.google.com/maps?q=22.291944
INACTIVE,Hong Kong,Badminton,觀塘區,牛頭角道體育館,九龍牛頭角道183號牛頭角市政大廈2樓至4樓,https://www.google.com/maps?q=22.321389
INACTIVE,Hong Kong,Badminton,觀塘區,瑞和街體育館,九龍觀塘瑞和街9號瑞和街市政大廈8樓至9樓,https://www.google.com/maps?q=22.315556
INACTIVE,Hong Kong,Badminton,觀塘區,順利邨體育館,九龍觀塘順利邨道33號,https://www.google.com/maps?q=22.329722
INACTIVE,Hong Kong,Badminton,觀塘區,彩榮路體育館,觀塘彩榮路58號,https://www.google.com/maps?q=22.388889
INACTIVE,Hong Kong,Badminton,葵青區,長發體育館,新界青衣長發邨長發廣場4字樓,https://www.google.com/maps?q=22.362500
INACTIVE,Hong Kong,Badminton,葵青區,楓樹窩體育館,新界青衣楓樹窩路10號青衣邨第2期,https://www.google.com/maps?q=22.355556
ACTIVE,Hong Kong,Badminton,葵青區,荔景體育館,新界葵涌麗祖路60號,https://www.google.com/maps?q=22.349722
INACTIVE,Hong Kong,Badminton,葵青區,北葵涌鄧肇堅體育館,新界葵涌和宜合道292號,https://www.google.com/maps?q=22.373889
INACTIVE,Hong Kong,Badminton,葵青區,林士德體育館,新界葵涌興芳路176號,https://www.google.com/maps?q=22.361111
ACTIVE,Hong Kong,Badminton,葵青區,大窩口體育館,新界葵涌大窩口大廈街39號,https://www.google.com/maps?q=22.370278
ACTIVE,Hong Kong,Badminton,葵青區,青衣體育館,新界青衣青綠街38號青衣市政大廈2字樓,https://www.google.com/maps?q=22.354167
INACTIVE,Hong Kong,Badminton,葵青區,青衣西南體育館,新界青衣涌美路70號,https://www.google.com/maps?q=22.351389
INACTIVE,Hong Kong,Badminton,荃灣區,荃景圍體育館,荃灣美環街38號荃景圍體育館,https://www.google.com/maps?q=22.377778
INACTIVE,Hong Kong,Badminton,荃灣區,荃灣西約體育館,荃灣海安路68號,https://www.google.com/maps?q=22.370556
INACTIVE,Hong Kong,Badminton,荃灣區,蕙荃體育館,荃灣廟崗街6號,https://www.google.com/maps?q=22.372222
INACTIVE,Hong Kong,Badminton,荃灣區,楊屋道體育館,荃灣楊屋道45號楊屋道市政大廈4樓,https://www.google.com/maps?q=22.368889
INACTIVE,Hong Kong,Badminton,荃灣區,荃灣體育館,新界荃灣永順街53號,https://www.google.com/maps?q=22.365833
INACTIVE,Hong Kong,Badminton,屯門區,良田體育館,屯門田景邨停車場4字樓,https://www.google.com/maps?q=22.406667
INACTIVE,Hong Kong,Badminton,屯門區,大興體育館,新界屯門青松觀路38號,https://www.google.com/maps?q=22.403333
INACTIVE,Hong Kong,Badminton,屯門區,賽馬會屯門蝴蝶灣體育館,新界屯門湖山路11號,https://www.google.com/maps?q=22.378611
INACTIVE,Hong Kong,Badminton,屯門區,屯門游泳池壁球場,屯門海皇路八號,https://www.google.com/maps?q=22.383611
INACTIVE,Hong Kong,Badminton,屯門區,友愛體育館,新界屯門興安里3號,https://www.google.com/maps?q=22.385556
INACTIVE,Hong Kong,Badminton,屯門區,兆麟體育館,屯門兆麟街19號屯門兆麟政府綜合大樓3字樓,https://www.google.com/maps?q=22.385000
INACTIVE,Hong Kong,Badminton,元朗區,鳳琴街體育館,元朗鳳攸北街20號,https://www.google.com/maps?q=22.443056
INACTIVE,Hong Kong,Badminton,元朗區,朗屏體育館,元朗朗屏邨朗屏商場2樓202號,https://www.google.com/maps?q=22.450278
