Status,Country,SportType,Location,sport_center,Address,Link
INACTIVE, Hong Kong,Badminton,深水埗區,深水埗體育館,深水埗深旺道38號深水埗康樂文化大樓2樓,https://www.google.com/maps?q=22.551111,144.258333
INACTIVE, Hong Kong,Badminton,黃大仙區,彩虹道羽毛球中心,黃大仙彩虹道150號,https://www.google.com/maps?q=22.337500,114.196944
INACTIVE, Hong Kong,Badminton,黃大仙區,彩虹道體育館,黃大仙彩虹道150號,https://www.google.com/maps?q=22.337222,114.196389
INACTIVE, Hong Kong,Badminton,黃大仙區,竹園體育館,九龍竹園道10號竹園體育館,https://www.google.com/maps?q=22.345556,114.193611
INACTIVE, Hong Kong,Badminton,黃大仙區,東啟德體育館,九龍新蒲崗六合街30號,https://www.google.com/maps?q=22.335833,114.200556
INACTIVE, Hong Kong,Badminton,黃大仙區,摩士公園體育館,九龍黃大仙鳳舞街40號,https://www.google.com/maps?q=22.338333,114.190000
INACTIVE, Hong Kong,Badminton,黃大仙區,牛池灣體育館,九龍清水灣道11號牛池灣市政大廈1樓,https://www.google.com/maps?q=22.334444,114.209722
INACTIVE, Hong Kong,Badminton,黃大仙區,蒲崗村道體育館,九龍黃大仙慈雲山蒲崗村道120號,https://www.google.com/maps?q=22.345556,114.201667
INACTIVE, Hong Kong,Badminton,九龍城區,佛光街體育館,九龍何文田牧愛街18號佛光街體育館9樓,https://www.google.com/maps?q=22.314722,114.181111
INACTIVE, Hong Kong,Badminton,九龍城區,何文田體育館,九龍何文田忠義街1號,https://www.google.com/maps?q=22.311944,114.181111
INACTIVE, Hong Kong,Badminton,九龍城區,紅磡市政大廈體育館,紅磡馬頭圍道11號紅磡市政大廈3樓,https://www.google.com/maps?q=22.307222,114.187222
INACTIVE, Hong Kong,Badminton,九龍城區,九龍城體育館,九龍城衙前圍道100號九龍城市政大廈3樓,https://www.google.com/maps?q=22.329722,114.188889
INACTIVE, Hong Kong,Badminton,九龍城區,土瓜灣體育館,九龍土瓜灣下鄉道66號,https://www.google.com/maps?q=22.318889,114.190000
INACTIVE, Hong Kong,Badminton,觀塘區,振華道體育館,牛頭角振華道50號樂雅苑停車場頂樓(毗鄰樂華),https://www.google.com/maps?q=22.322500,114.220556
INACTIVE, Hong Kong,Badminton,觀塘區,曉光街體育館,九龍觀塘曉光街2號,https://www.google.com/maps?q=22.319722,114.227778
INACTIVE, Hong Kong,Badminton,觀塘區,九龍灣體育館,九龍灣啟樂街15號,https://www.google.com/maps?q=22.326944,114.211111
INACTIVE, Hong Kong,Badminton,觀塘區,藍田(南)體育館,九龍觀塘藍田碧雲道170號,https://www.google.com/maps?q=22.303889,114.238889
INACTIVE, Hong Kong,Badminton,觀塘區,鯉魚門體育館,九龍油塘鯉魚門市政大廈2樓至5樓,https://www.google.com/maps?q=22.291944,114.238611
INACTIVE, Hong Kong,Badminton,觀塘區,牛頭角道體育館,九龍牛頭角道183號牛頭角市政大廈2樓至4樓,https://www.google.com/maps?q=22.321389,114.216389
INACTIVE, Hong Kong,Badminton,觀塘區,瑞和街體育館,九龍觀塘瑞和街9號瑞和街市政大廈8樓至9樓,https://www.google.com/maps?q=22.315556,114.224167
INACTIVE, Hong Kong,Badminton,觀塘區,順利邨體育館,九龍觀塘順利邨道33號,https://www.google.com/maps?q=22.329722,114.225556
INACTIVE, Hong Kong,Badminton,觀塘區,彩榮路體育館,觀塘彩榮路58號,https://www.google.com/maps?q=22.388889,114.146389
INACTIVE, Hong Kong,Badminton,葵青區,長發體育館,新界青衣長發邨長發廣場4字樓,https://www.google.com/maps?q=22.362500,114.102778
INACTIVE, Hong Kong,Badminton,葵青區,楓樹窩體育館,新界青衣楓樹窩路10號青衣邨第2期,https://www.google.com/maps?q=22.355556,114.102778
INACTIVE, Hong Kong,Badminton,葵青區,荔景體育館,新界葵涌麗祖路60號,https://www.google.com/maps?q=22.349722,114.127778
INACTIVE, Hong Kong,Badminton,葵青區,北葵涌鄧肇堅體育館,新界葵涌和宜合道292號,https://www.google.com/maps?q=22.373889,114.137500
INACTIVE, Hong Kong,Badminton,葵青區,林士德體育館,新界葵涌興芳路176號,https://www.google.com/maps?q=22.361111,114.129444
INACTIVE, Hong Kong,Badminton,葵青區,大窩口體育館,新界葵涌大窩口大廈街39號,https://www.google.com/maps?q=22.370278,114.125000
INACTIVE, Hong Kong,Badminton,葵青區,青衣體育館,新界青衣青綠街38號青衣市政大廈2字樓,https://www.google.com/maps?q=22.354167,114.106389
INACTIVE, Hong Kong,Badminton,葵青區,青衣西南體育館,新界青衣涌美路70號,https://www.google.com/maps?q=22.351389,114.102222
INACTIVE, Hong Kong,Badminton,荃灣區,荃景圍體育館,荃灣美環街38號荃景圍體育館,https://www.google.com/maps?q=22.377778,114.111111
INACTIVE, Hong Kong,Badminton,荃灣區,荃灣西約體育館,荃灣海安路68號,https://www.google.com/maps?q=22.370556,114.100556
INACTIVE, Hong Kong,Badminton,荃灣區,蕙荃體育館,荃灣廟崗街6號,https://www.google.com/maps?q=22.372222,114.122500
INACTIVE, Hong Kong,Badminton,荃灣區,楊屋道體育館,荃灣楊屋道45號楊屋道市政大廈4樓,https://www.google.com/maps?q=22.368889,114.114444
INACTIVE, Hong Kong,Badminton,荃灣區,荃灣體育館,新界荃灣永順街53號,https://www.google.com/maps?q=22.365833,114.112778
INACTIVE, Hong Kong,Badminton,屯門區,良田體育館,屯門田景邨停車場4字樓,https://www.google.com/maps?q=22.406667,113.965000
INACTIVE, Hong Kong,Badminton,屯門區,大興體育館,新界屯門青松觀路38號,https://www.google.com/maps?q=22.403333,113.973056
INACTIVE, Hong Kong,Badminton,屯門區,賽馬會屯門蝴蝶灣體育館,新界屯門湖山路11號,https://www.google.com/maps?q=22.378611,113.964722
INACTIVE, Hong Kong,Badminton,屯門區,屯門游泳池壁球場,屯門海皇路八號,https://www.google.com/maps?q=22.383611,113.970000
INACTIVE, Hong Kong,Badminton,屯門區,友愛體育館,新界屯門興安里3號,https://www.google.com/maps?q=22.385556,113.971667
INACTIVE, Hong Kong,Badminton,屯門區,兆麟體育館,屯門兆麟街19號屯門兆麟政府綜合大樓3字樓,https://www.google.com/maps?q=22.385000,113.978056
INACTIVE, Hong Kong,Badminton,元朗區,鳳琴街體育館,元朗鳳攸北街20號,https://www.google.com/maps?q=22.443056,114.033056
INACTIVE, Hong Kong,Badminton,元朗區,朗屏體育館,元朗朗屏邨朗屏商場2樓202號,https://www.google.com/maps?q=22.450278,114.023056
INACTIVE, Hong Kong,Badminton,元朗區,天瑞體育館,天水圍天瑞路七號,https://www.google.com/maps?q=22.454722,113.998056
INACTIVE, Hong Kong,Badminton,元朗區,天水圍體育館,天水圍天柏路一號,https://www.google.com/maps?q=22.455000,114.006667
INACTIVE, Hong Kong,Badminton,元朗區,屏山天水圍體育館,天水圍聚星路1號,https://www.google.com/maps?q=22.447500,114.004722
INACTIVE, Hong Kong,Badminton,元朗區,天暉路體育館,天水圍天瑞路63號,https://www.google.com/maps?q=22.464722,113.996944
INACTIVE, Hong Kong,Badminton,元朗區,元朗體育館,元朗馬田路52號元朗文化康樂大樓3樓,https://www.google.com/maps?q=22.441389,114.023889
INACTIVE, Hong Kong,Badminton,沙田區,恆安體育館,沙田馬鞍山恆安邨恆安商場四樓,https://www.google.com/maps?q=22.416667,114.227778
INACTIVE, Hong Kong,Badminton,沙田區,顯徑體育館,沙田顯徑邨顯徑商場,https://www.google.com/maps?q=22.363056,114.171389
INACTIVE, Hong Kong,Badminton,沙田區,馬鞍山體育館,沙田馬鞍山鞍駿街14號,https://www.google.com/maps?q=22.426111,114.229444
INACTIVE, Hong Kong,Badminton,沙田區,美林體育館,沙田大圍美林邨第三期,https://www.google.com/maps?q=22.379167,114.175556
INACTIVE, Hong Kong,Badminton,沙田區,沙田賽馬會公眾壁球場,新界沙田源禾路12號,https://www.google.com/maps?q=22.384722,114.193889
INACTIVE, Hong Kong,Badminton,沙田區,源禾路體育館,新界沙田源禾路8號,https://www.google.com/maps?q=22.383056,114.192500
INACTIVE, Hong Kong,Badminton,沙田區,圓洲角體育館,新界沙田銀城街35號,https://www.google.com/maps?q=22.379722,114.204444
INACTIVE, Hong Kong,Badminton,沙田區,車公廟體育館,沙田沙田頭路10號,https://www.google.com/maps?q=22.372222,114.185556
